Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 19, 2021","57,850.44","59,498.38","56,643.70","58,346.65","58,346.65","49,063,873,786"
"Mar 18, 2021","58,893.08","60,116.25","54,253.58","57,858.92","57,858.92","55,746,041,000"
"Mar 17, 2021","56,825.83","58,969.82","54,528.63","58,870.89","58,870.89","60,258,313,191"
"Mar 16, 2021","55,840.79","56,833.18","53,555.03","56,804.90","56,804.90","59,749,798,599"
"Mar 15, 2021","59,267.43","60,540.99","55,393.16","55,907.20","55,907.20","66,419,369,890"
"Mar 14, 2021","61,221.13","61,597.92","59,302.32","59,302.32","59,302.32","43,901,225,564"
"Mar 13, 2021","57,343.37","61,683.86","56,217.97","61,243.09","61,243.09","60,669,829,814"
"Mar 12, 2021","57,821.22","57,996.62","55,376.65","57,332.09","57,332.09","55,689,944,702"
"Mar 11, 2021","55,963.18","58,091.06","54,484.59","57,805.12","57,805.12","56,772,343,595"
"Mar 10, 2021","54,824.01","57,258.25","53,290.89","56,008.55","56,008.55","57,295,577,614"
"Mar 09, 2021","52,272.97","54,824.12","51,981.83","54,824.12","54,824.12","50,912,227,385"
"Mar 08, 2021","51,174.12","52,314.07","49,506.05","52,246.52","52,246.52","48,597,428,048"
"Mar 07, 2021","48,918.68","51,384.37","48,918.68","51,206.69","51,206.69","43,137,459,378"
"Mar 06, 2021","48,899.23","49,147.22","47,257.53","48,912.38","48,912.38","34,363,564,661"
"Mar 05, 2021","48,527.03","49,396.43","46,542.52","48,927.30","48,927.30","48,625,928,883"
"Mar 04, 2021","50,522.30","51,735.09","47,656.93","48,561.17","48,561.17","52,343,816,680"
"Mar 03, 2021","48,415.82","52,535.14","48,274.32","50,538.24","50,538.24","53,220,811,975"
"Mar 02, 2021","49,612.11","50,127.51","47,228.84","48,378.99","48,378.99","47,530,897,720"
"Mar 01, 2021","45,159.50","49,784.02","45,115.09","49,631.24","49,631.24","53,891,300,112"
"Feb 28, 2021","46,194.02","46,716.43","43,241.62","45,137.77","45,137.77","53,443,887,451"
"Feb 27, 2021","46,344.77","48,253.27","45,269.03","46,188.45","46,188.45","45,910,946,382"
"Feb 26, 2021","47,180.46","48,370.79","44,454.84","46,339.76","46,339.76","350,967,941,479"
"Feb 25, 2021","49,709.08","51,948.97","47,093.85","47,093.85","47,093.85","54,506,565,949"
"Feb 24, 2021","48,835.09","51,290.14","47,213.50","49,705.33","49,705.33","63,695,521,388"
"Feb 23, 2021","54,204.93","54,204.93","45,290.59","48,824.43","48,824.43","106,102,492,824"
"Feb 22, 2021","57,532.74","57,533.39","48,967.57","54,207.32","54,207.32","92,052,420,332"
"Feb 21, 2021","56,068.57","58,330.57","55,672.61","57,539.95","57,539.95","51,897,585,191"
"Feb 20, 2021","55,887.34","57,505.23","54,626.56","56,099.52","56,099.52","68,145,460,026"
"Feb 19, 2021","51,675.98","56,113.65","50,937.28","55,888.13","55,888.13","63,495,496,918"
"Feb 18, 2021","52,140.97","52,474.11","51,015.77","51,679.80","51,679.80","52,054,723,579"
"Feb 17, 2021","49,207.28","52,533.91","49,072.38","52,149.01","52,149.01","80,820,545,404"
"Feb 16, 2021","47,944.46","50,341.10","47,201.30","49,199.87","49,199.87","77,049,582,886"
"Feb 15, 2021","48,696.54","48,875.57","46,347.48","47,945.06","47,945.06","77,069,903,166"
"Feb 14, 2021","47,114.51","49,487.64","47,114.51","48,717.29","48,717.29","71,248,675,228"
"Feb 13, 2021","47,491.20","48,047.75","46,392.28","47,105.52","47,105.52","70,250,456,155"
"Feb 12, 2021","47,877.04","48,745.73","46,424.98","47,504.85","47,504.85","76,555,041,196"
"Feb 11, 2021","44,898.71","48,463.47","44,187.76","47,909.33","47,909.33","81,388,911,810"
"Feb 10, 2021","46,469.76","47,145.57","43,881.15","44,918.18","44,918.18","87,301,089,896"
"Feb 09, 2021","46,184.99","48,003.72","45,166.96","46,481.11","46,481.11","91,809,846,886"
"Feb 08, 2021","38,886.83","46,203.93","38,076.32","46,196.46","46,196.46","101,467,222,687"
"Feb 07, 2021","39,250.19","39,621.84","37,446.15","38,903.44","38,903.44","65,500,641,143"
"Feb 06, 2021","38,138.39","40,846.55","38,138.39","39,266.01","39,266.01","71,326,033,653"
"Feb 05, 2021","36,931.55","38,225.91","36,658.76","38,144.31","38,144.31","58,598,066,402"
"Feb 04, 2021","37,475.11","38,592.18","36,317.50","36,926.07","36,926.07","68,838,074,392"
"Feb 03, 2021","35,510.82","37,480.19","35,443.98","37,472.09","37,472.09","61,166,818,159"
"Feb 02, 2021","33,533.20","35,896.88","33,489.22","35,510.29","35,510.29","63,088,585,433"
"Feb 01, 2021","33,114.58","34,638.21","32,384.23","33,537.18","33,537.18","61,400,400,660"
"Jan 31, 2021","34,270.88","34,288.33","32,270.18","33,114.36","33,114.36","52,754,542,671"
"Jan 30, 2021","34,295.93","34,834.71","32,940.19","34,269.52","34,269.52","65,141,828,798"
"Jan 29, 2021","34,318.67","38,406.26","32,064.81","34,316.39","34,316.39","117,894,572,511"
"Jan 28, 2021","30,441.04","31,891.30","30,023.21","31,649.61","31,649.61","78,948,162,368"
"Jan 27, 2021","32,564.03","32,564.03","29,367.14","30,432.55","30,432.55","62,576,762,015"
"Jan 26, 2021","32,358.61","32,794.55","31,030.27","32,569.85","32,569.85","60,255,421,470"
"Jan 25, 2021","32,285.80","34,802.74","32,087.79","32,366.39","32,366.39","59,897,054,838"
"Jan 24, 2021","32,064.38","32,944.01","31,106.69","32,289.38","32,289.38","48,643,830,599"
"Jan 23, 2021","32,985.76","33,360.98","31,493.16","32,067.64","32,067.64","48,354,737,975"
"Jan 22, 2021","30,817.63","33,811.85","28,953.37","33,005.76","33,005.76","77,207,272,511"
"Jan 21, 2021","35,549.40","35,552.68","30,250.75","30,825.70","30,825.70","75,643,067,688"
"Jan 20, 2021","36,050.11","36,378.33","33,570.48","35,547.75","35,547.75","66,834,573,161"
"Jan 19, 2021","36,642.23","37,755.89","36,069.80","36,069.80","36,069.80","57,244,195,486"
"Jan 18, 2021","35,792.24","37,299.29","34,883.84","36,630.07","36,630.07","49,511,702,429"
"Jan 17, 2021","36,163.65","36,722.35","34,069.32","35,791.28","35,791.28","52,359,854,336"
"Jan 16, 2021","36,821.65","37,864.37","35,633.55","36,178.14","36,178.14","57,706,187,875"
"Jan 15, 2021","39,156.71","39,577.71","34,659.59","36,825.37","36,825.37","67,760,757,881"
"Jan 14, 2021","37,325.11","39,966.41","36,868.56","39,187.33","39,187.33","63,615,990,033"
"Jan 13, 2021","33,915.12","37,599.96","32,584.67","37,316.36","37,316.36","69,364,315,979"
"Jan 12, 2021","35,516.36","36,568.53","32,697.98","33,922.96","33,922.96","74,773,277,909"
"Jan 11, 2021","38,346.53","38,346.53","30,549.60","35,566.66","35,566.66","123,320,567,399"
"Jan 10, 2021","40,254.22","41,420.19","35,984.63","38,356.44","38,356.44","79,980,747,690"
"Jan 09, 2021","40,788.64","41,436.35","38,980.88","40,254.55","40,254.55","61,984,162,837"
"Jan 08, 2021","39,381.77","41,946.74","36,838.64","40,797.61","40,797.61","88,107,519,480"
"Jan 07, 2021","36,833.88","40,180.37","36,491.19","39,371.04","39,371.04","84,762,141,031"
"Jan 06, 2021","34,013.61","36,879.70","33,514.04","36,824.36","36,824.36","75,289,433,811"
"Jan 05, 2021","31,977.04","34,437.59","30,221.19","33,992.43","33,992.43","67,547,324,782"
"Jan 04, 2021","32,810.95","33,440.22","28,722.76","31,971.91","31,971.91","81,163,475,344"
"Jan 03, 2021","32,129.41","34,608.56","32,052.32","32,782.02","32,782.02","78,665,235,202"
"Jan 02, 2021","29,376.46","33,155.12","29,091.18","32,127.27","32,127.27","67,865,420,765"
"Jan 01, 2021","28,994.01","29,600.63","28,803.59","29,374.15","29,374.15","40,730,301,359"
"Dec 31, 2020","28,841.57","29,244.88","28,201.99","29,001.72","29,001.72","46,754,964,848"
"Dec 30, 2020","27,360.09","28,937.74","27,360.09","28,840.95","28,840.95","51,287,442,704"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
